cep_ini,cep_fim,cidade,uf,prazo,peso5,peso10,peso20,peso40,peso60,peso100,excedente_kg,gris_min,gris_pct,tas,pedagio_fixo,pedagio_fracao_kg
69630000,69639999,BENJAMIN CONSTANT,AM,29,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69430000,69434999,BERURI,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69195000,69199999,BOA VISTA DO RAMOS,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69220000,69229999,BOA VISTA DO RAMOS,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69850000,69859999,BOCA DO ACRE,AM,20,228.4,285.49,295.44,605.2,693.31,953.3,9.53,3.12,0.003,11.63,8.89,100
69200000,69219999,BORBA,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69425000,69429999,CAAPIRANGA,AM,28,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69820000,69829999,CANUTAMA,AM,31,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69500000,69509999,CARAUARI,AM,37,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69250000,69254999,CAREIRO,AM,21,303.98,379.99,393.22,805.52,922.81,,12.68,3.12,0.003,11.63,8.89,100
69255000,69259999,CAREIRO DA VARZEA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69460000,69469999,COARI,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69450000,69459999,CODAJAS,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69670000,69679999,FONTE BOA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69895000,69899999,GUAJARA,AM,10,207.64,259.54,268.58,550.18,630.3,866.65,8.67,3.12,0.003,11.63,8.89,100
69800000,69819999,HUMAITA,AM,11,150.63,188.29,194.77,398.72,456.59,611.85,6.11,3.12,0.003,11.63,8.89,100
69415000,69424999,IRANDUBA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69100001,69113999,ITACOATIARA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69120000,69129999,ITAPIRANGA,AM,23,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69495000,69499999,JAPURA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69520000,69529999,JURUA,AM,32,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69660000,69669999,JUTAI,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69830000,69849999,LABREA,AM,33,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69400001,69414999,MANACAPURU,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69435000,69439999,MANAQUIRI,AM,26,303.98,379.99,393.22,805.52,922.81,,12.68,3.12,0.003,11.63,8.89,100
69000001,69099999,MANAUS,AM,19,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69490000,69494999,MARAA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69190000,69194999,MAUES,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69140000,69149999,NHAMUNDA,AM,23,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69230000,69239999,NOVA OLINDA DO NORTE,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69730000,69734999,NOVO AIRAO,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69260000,69264999,NOVO ARIPUANA,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69150001,69159999,PARINTINS,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69720000,69729999,PRESIDENTE FIGUEIREDO,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69735000,69739999,PRESIDENTE FIGUEIREDO,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69117000,69119999,RIO PRETO DA EVA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69740000,69749999,SANTA ISABEL DO RIO NEGRO,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69680000,69684999,SANTO ANTONIO DO ICA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69750000,69799999,SAO GABRIEL DA CACHOEIRA,AM,27,303.98,379.99,393.22,805.52,922.81,,12.68,3.12,0.003,11.63,8.89,100
69600000,69619999,SAO PAULO DE OLIVENCA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69135000,69139999,SAO SEBASTIAO DO UATUMA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69114000,69116999,SILVES,AM,31,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69640000,69649999,TABATINGA,AM,29,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69480000,69484999,TAPAUA,AM,29,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69550001,69559999,TEFE,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69685000,69699999,TONANTINS,AM,34,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69530000,69539999,UARINI,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69130000,69134999,URUCARA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69180000,69189999,URUCURITUBA,AM,23,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
68950000,68959999,AMAPA,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68960000,68972999,CALCOENE,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68973000,68975999,CUTIAS,AP,18,393.4,491.75,509.33,626.71,718.48,875.8,8.76,3.12,0.003,11.63,8.89,100
68915000,68917999,FERREIRA GOMES,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68976000,68979999,ITAUBAL,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68920000,68923999,LARANJAL DO JARI,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68900001,68914999,MACAPA,AP,14,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
68940000,68944999,MAZAGAO,AP,18,440.44,550.55,569.7,700.23,802.18,,10.03,3.12,0.003,11.63,8.89,100
